window_start,window_end,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,unique_destinations,unique_destination_ports,unique_source_ports,protocol_count,flow_duration,packets_per_second,syn_count,syn_ratio,rst_count,rst_ratio,ssh_packet_count,ssh_ratio,avg_interarrival_time,std_interarrival_time,max_packets_per_second,source_file,attack_type
2026-06-22T23:48:40+00:00,2026-06-22T23:48:44.841998100+00:00,142.250.69.142,172.16.46.135,443,56058,TCP,589,10499.09507640068,11969.694272581733,60,64293,6183967,1,3,1,1,3.640266,161.8013628674388,3,0.0050933786078098476,0,0.0,0,0.0,0.006190928877551021,0.027909161256549582,202,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:43.351052046+00:00,142.250.69.66,172.16.46.135,443,56244,TCP,1,60.0,0.0,60,60,60,1,1,1,1,0.0,1.0,1,1.0,0,0.0,0,0.0,0.0,0.0,1,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:43.623742104+00:00,142.251.152.119,172.16.46.135,443,60706,TCP,14,2249.0,3485.12045292965,60,11196,31486,1,1,1,1,1.039895,13.46289769640204,1,0.07142857142857142,0,0.0,0,0.0,0.07999192753846154,0.25557097260041634,8,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:47.969161034+00:00,150.171.22.12,172.16.46.135,443,35124,TCP,1,60.0,0.0,60,60,60,1,1,1,1,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:49.973589897+00:00,150.171.27.10,172.16.46.135,443,43936,TCP,1,60.0,0.0,60,60,60,1,1,1,1,0.0,1.0,0,0.0,0,0.0,0,0.0,0.0,0.0,1,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:42.745290995+00:00,151.101.193.91,172.16.46.135,443,51922,TCP,3,288.6666666666667,323.3835012626477,60,746,866,1,1,1,1,0.268274,3.0,0,0.0,0,0.0,0,0.0,0.1341370345,0.1341120005,3,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:45.841587067+00:00,172.16.46.1,224.0.0.251,5353,5353,UDP,3,288.6666666666667,30.169889330626027,246,310,866,1,1,1,1,5.100711,0.5881532986283676,0,0.0,0,0.0,0,0.0,2.5503555540000002,1.4501305820000001,1,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:49.973053932+00:00,172.16.46.135,142.250.69.142,56058,443,TCP,784,220.83163265306123,426.14318605344783,54,2614,173132,20,2,100,2,9.410835,83.30822929102465,13,0.016581632653061226,3,0.003826530612244898,0,0.0,0.012018946395913154,0.07229294103261397,289,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:43.509808064+00:00,172.16.46.2,172.16.46.135,53,32776,UDP,70,145.81428571428572,61.65556233906994,70,350,10207,1,70,1,1,2.863769,24.443312292297318,0,0.0,0,0.0,0,0.0,0.04150389934782609,0.16046766121833964,62,normal_01.pcap,normal
2026-06-22T23:48:40+00:00,2026-06-22T23:48:43.985831022+00:00,172.217.131.136,172.16.46.135,443,41676,TCP,21,576.0,1195.0687168925635,60,4680,12096,1,2,1,1,0.417853,21.0,2,0.09523809523809523,2,0.09523809523809523,0,0.0,0.02089265585,0.04792542300706393,21,normal_01.pcap,normal
